ID,Story,Question,Label
8704,"Z is north east of P. X is above and to the left of R. Object A is below object X and to the left of it, too. P is on the right side to R. H is diagonally above M to the left at a 45 degree angle. The object Z is upper and slightly to the right of the object M.",What is the relation of the agent R to the agent X?,lower-right
8705,R and N are vertical and R is below N. B is over there and T is on the top of it. F is directly below R. N is on the left and B is on the right. F is at the 6 o'clock position relative to U. U is positioned below V and to the right.,What is the relation of the agent F to the agent R?,below
8706,A is there and V is at the 10 position of a clock face. V is over there with U above. O is on the lower right of S. P is positioned in the top left corner of G. U is north east of S. P is below O at 7 o'clock.,What is the relation of the agent V to the agent S?,right
8707,"W is on the top and N is at the bottom. K is to the left of W and below W at approximately a 45 degree angle. If K is the center of a clock face, G is located between 4 and 5. V is to the left of I and is on the same horizontal plane. The object B is lower and slightly to the left of the object I. G presents upper right to V.",What is the relation of the agent N to the agent I?,above
8708,J is placed in the left direction of G. N and X are next to each other with X at the bottom N on the top. X is there and A is at the 10 position of a clock face. N is upper right to J. A is positioned above Q and to the right. The object G is lower and slightly to the left of the object W.,What is the relation of the agent Q to the agent X?,lower-left
8709,C is below N with a small gap between them. F is on the upper right of N. C is diagonally to the upper right of X. M and L are in a horizontal line with L on the right. The object L is upper and slightly to the left of the object F. P is diagonally to the upper right of X.,What is the relation of the agent L to the agent X?,upper-right
8710,W is above T and to the left of T. R is sitting at the 9:00 position of T. The object J is positioned directly below the object W. R is over there and X is on the left of it. N presents over X. J is positioned in the front right corner of V.,What is the relation of the agent T to the agent J?,right
8711,Y is slightly off center to the top left and X is slightly off center to the bottom right. The object M is positioned below and to the left of the object S. L presents lower left to M. P is placed at the bottom of S. P is south east of D. L and X are horizontal and L is to the left of X.,What is the relation of the agent P to the agent S?,above
8712,"I is diagonally above F to the right at a 45 degree. A is slightly off center to the top left and Z is slightly off center to the bottom right. A is sitting at the lower position to N. If H is the center of a clock face, N is located between 7 and 8. C and H are next to each other with H on the right and C on the left. F is over there and Z is on the left.",What is the relation of the agent F to the agent H?,lower-right
8713,Z is positioned below C and to the right. L is above P and to the left of P. A is to the bottom-right of K. The object L and Z are there. The object Z is above and slightly to the left of the object L. P is to the left of K. N is at the 9 o'clock position relative to C.,What is the relation of the agent A to the agent C?,lower-right
8714,"M is diagonally above N to the right at a 45 degree. The object B and D are there. The object D is above and slightly to the left of the object B. Object G is above object D and to the left of it, too. G is directly north west of M. Y is to the left of V with a small gap between them. Y is directly north west of N.",What is the relation of the agent Y to the agent D?,left
8715,E is above P and to the right of P. I and K are both there with the object I is to the left of object K. E is directly north east of W. W is positioned in the lower right corner of I. D is sitting at the upper right position to P. Q is above K and to the right of K.,What is the relation of the agent Q to the agent W?,upper-right
8716,The object Q is positioned directly below the object M. Y is above R at 2 o'clock. V and M are side by side with M at the bottom and V on the top. F is positioned in the lower right corner of Y. The object labeled W is positioned to the left of the object labeled F. The object V is upper and slightly to the right of the object W.,What is the relation of the agent W to the agent V?,lower-left
8717,"K is over C. Y is at a 45 degree angle to C, in the lower lefthand corner. U is to the upper left of Y. Object M is above object R and to the right of it, too. J is sitting at the upper right position to K. R is positioned right to U.",What is the relation of the agent R to the agent J?,lower-left
8718,W is on the lower right of K. C is slightly off center to the top left and O is slightly off center to the bottom right. J and O are next to each other with J on the top and O at the bottom. H and C are next to each other with H on the top and C at the bottom. The object K is upper and slightly to the right of the object B. The object labeled J is positioned to the left of the object labeled W.,What is the relation of the agent K to the agent C?,upper-right
8719,P and T are both there with the object P is to the right of object T. H is there and B is at the 10 position of a clock face. C is placed in the right direction of J. H is on the right side and below P. J is positioned below S. The object S is positioned directly above the object B.,What is the relation of the agent C to the agent T?,overlap
8720,The object N is lower and slightly to the right of the object C. H is placed at the lower right of Y. U and M are in a vertical line with M below U. U is under T. Y is sitting in the left direction of C. N is on the same horizontal plane directly left to M.,What is the relation of the agent H to the agent Y?,lower-right
8721,D presents lower right to C. R is to the upper left of D. B is positioned below C and to the left. W is to the left of O with a small gap between them. The object O and Q are there. The object O is below and slightly to the right of the object Q. R is over there and W is on the left.,What is the relation of the agent B to the agent D?,above
8722,"O is positioned below N and to the left. If Z is the center of a clock face, G is located between 7 and 8. K is at the bottom of O vertically. N and A are parallel, and N is over A. R is on the left side to A. Z is on top of R.",What is the relation of the agent K to the agent O?,below
8723,"The objects U and N are over there. The object U is lower and slightly to the left of the object N. U and P are both there with the object U is to the right of object P. P is to the bottom left of J. W and J are parallel, and W is to the right of J. S presents upper left to W. X is at S's 12 o'clock.",What is the relation of the agent W to the agent S?,lower-right
8724,B is positioned above W and to the right. W is at the bottom of G vertically. G is diagonally left and above G. The object X is lower and slightly to the right of the object D. D is positioned right to H. L is to the right and above X at an angle of about 45 degrees.,What is the relation of the agent L to the agent W?,right
8725,D and V are in a horizontal line with V on the right. The object Y is upper and slightly to the right of the object V. H and W are next to each other with W on the right and H on the left. S is at the lower side of B. B is on the right side and top of W. Y is positioned in the front right corner of S.,What is the relation of the agent S to the agent B?,below
8726,X is lower right of S. R and X are horizontal and R is to the left of X. The object H is positioned directly below the object R. H is diagonally to the bottom left of O. The objects W and Z are over there. The object W is above and slightly to the right of the object Z. S is positioned below W.,What is the relation of the agent X to the agent W?,lower-right
8727,The object V and E are there. The object E is above and slightly to the left of the object V. N is positioned above T and to the left. N is to the top-right of P. J is to the left of B with a small gap between them. J is on the top side to E. B is positioned below and to the right of P.,What is the relation of the agent N to the agent E?,upper-right
8728,N is sitting at the upper left position to Q. I is on the right side to Z. L is directly above I. L is over there and N is on the left of it. The object labeled O is positioned to the right of the object labeled T. Z is to the right and above O at an angle of about 45 degrees.,What is the relation of the agent T to the agent I?,lower-left
8729,"H is on the top of A and is on the same vertical plane. M is on top of H. M is directly north east of D. J is positioned down and to the left of A. N and D are parallel, and N on the left of D. W is above J with a small gap between them.",What is the relation of the agent H to the agent J?,upper-right
8730,B and O are both there with the object O below the object B. Y is to the top-right of W. K is sitting at the lower right position to M. B is to the bottom-right of T. K is positioned in the lower left corner of O. Y and M are vertical and Y is below M.,What is the relation of the agent M to the agent W?,upper-right
8731,F presents below C. Y is positioned up and to the right of M. C and Y are next to each other with C on the left and Y on the right. P is to the top of W vertically. F is at the 12 o'clock position relative to R. W is placed in the right direction of M.,What is the relation of the agent Y to the agent P?,overlap
8732,"W is on the top side to Y. D is at the bottom of Y and is on the same vertical plane. T and P are next to each other with P on the right and T on the left. G is positioned below D. W is at a 45 degree angle to Q, in the upper righthand corner. The object Q is positioned directly below the object T.",What is the relation of the agent T to the agent Y?,upper-left
8733,"H is sitting at the 3:00 position to L. E is lower right of I. P is to the bottom right of M. L is placed at the upper left of R. If M is the center of a clock face, I is located between 7 and 8. R is positioned in the front right corner of P.",What is the relation of the agent I to the agent M?,lower-left
8734,"K is placed at the lower left of T. V is placed on the top of R. S is at a 45 degree angle to V, in the upper righthand corner. I is positioned in the lower right corner of R. P is there and I is at the 2 position of a clock face. K is diagonally below P to the right at a 45 degree angle.",What is the relation of the agent R to the agent I?,upper-left
8735,V is to the right of D with a small gap between them. S is on top of W. A and D are side by side with A to the right and D to the left. S is positioned in the lower left corner of A. X is at the 6 o'clock position relative to W. H is directly south west of V.,What is the relation of the agent S to the agent X?,above
8736,T is positioned below and to the right of Y. Z is positioned in the top left corner of E. R is over there and Z is on the right of it. Y is to the top of C vertically. T is there and R is at the 10 position of a clock face. E is above and to the right of F.,What is the relation of the agent R to the agent F?,upper-left
8737,"L and Z are parallel, and Z is below L. D is upper right to O. L and X are both there with the object L is to the left of object X. A is slightly off center to the top left and Z is slightly off center to the bottom right. V is directly north east of X. V is at the 3 o'clock position relative to O.",What is the relation of the agent V to the agent O?,right
8738,"B is to the left of Z with a small gap between them. U and G are parallel, and G is below U. M is to the left of L and is on the same horizontal plane. The object U is positioned directly below the object M. The objects L and Y are over there. The object L is above and slightly to the right of the object Y. Y is north east of B.",What is the relation of the agent M to the agent G?,above
8739,"U is south east of E. B is to the right and above F at an angle of about 45 degrees. F is sitting at the lower right position to W. P is positioned left to G. If U is the center of a clock face, B is located between 2 and 3. P is positioned in the front right corner of E.",What is the relation of the agent F to the agent E?,lower-right
8740,The object labeled D is positioned to the right of the object labeled U. U is positioned above and to the left of C. H is to the top-left of N. D is over there with A above. J presents left to C. J is at N's 3 o'clock.,What is the relation of the agent U to the agent C?,upper-left
8741,"O is placed on the top of G. X and H are next to each other with H on the right and X on the left. A is on the top of W and is on the same vertical plane. W and G are side by side with G at the bottom and W on the top. O is positioned above T and to the right. If A is the center of a clock face, X is located between 4 and 5.",What is the relation of the agent A to the agent X?,upper-left
8742,"W is positioned above O and to the right. J is directly south east of T. W and Z are parallel, and W on the left of Z. C is above V and to the left of V. Z is on the same vertical plane directly above J. V and T are next to each other with T at the bottom V on the top.",What is the relation of the agent O to the agent Z?,lower-left
8743,N is on the right side and below B. A and C are both there with the object A above the object C. H and B are both there with the object B below the object H. E is to the right of U. A is directly south east of N. E presents lower right to H.,What is the relation of the agent H to the agent U?,above
8744,Q and O are side by side with Q on the top and O at the bottom. S is to the left of B and is on the same horizontal plane. E is on top of S. Q is over there with B below. E and C are both there with the object E is to the right of object C. C is sitting in the left direction of D.,What is the relation of the agent B to the agent S?,right
8745,"If C is the center of a clock face, U is located between 4 and 5. U is sitting at the top position to P. R is at the bottom of H vertically. R and E are side by side with R to the left and E to the right. C is directly north west of E. B is to the upper left of H.",What is the relation of the agent U to the agent P?,above
8746,The object labeled F is positioned to the right of the object labeled D. D is sitting in the right direction of S. O is on the same vertical plane directly below H. Q is positioned below E. Q is slightly off center to the top left and S is slightly off center to the bottom right. H is on the top side to E.,What is the relation of the agent E to the agent O?,overlap
8747,S is sitting at the lower right position to Y. X is on the right side to U. N is over there and U is on the right of it. P and X are vertical and P is below X. Y is below P. N is to the bottom-left of R.,What is the relation of the agent S to the agent X?,lower-right
8748,"The object J is lower and slightly to the left of the object T. F and C are parallel, and F is to the right of C. M presents lower right to J. X is to the left of H horizontally. H is positioned up and to the right of F. M is to the left of X horizontally.",What is the relation of the agent M to the agent J?,lower-right
8749,"P is sitting at the 12:00 position to U. R and F are side by side with F at the bottom and R on the top. F is at a 45 degree angle to N, in the lower lefthand corner. N is on the left and B is on the right. Z is below P and to the right of P. U is over there with B below.",What is the relation of the agent P to the agent U?,above
8750,Q is positioned below I and to the left. P is north east of Z. P and N are in a horizontal line with N on the right. O is to the top of I vertically. The object labeled O is positioned to the right of the object labeled Z. Q is below S at 7 o'clock.,What is the relation of the agent S to the agent O?,upper-right
8751,M is over there and W is at the bottom of it. O is at the 3 o'clock position relative to D. B is upper left of K. D is at the bottom of I and is on the same vertical plane. O and B are side by side with O to the right and B to the left. I is positioned above and to the left of W.,What is the relation of the agent O to the agent I?,lower-right
8752,Y is above L. D is to the bottom left of C. The object labeled V is positioned to the left of the object labeled Y. C is sitting in the right direction of L. F is placed in the left direction of V. D is diagonally above H to the right at a 45 degree.,What is the relation of the agent Y to the agent H?,upper-right
8753,The object O and C are there. The object O is below and slightly to the right of the object C. C is directly south west of U. M presents lower left to R. Z is upper left of S. R is positioned right to Z. S is upper left of U.,What is the relation of the agent S to the agent Z?,lower-right
8754,"Q is to the right and above N at an angle of about 45 degrees. A is at a 45 degree angle to G, in the upper lefthand corner. I is on the right and G is on the left. J is diagonally right and below R. A is on the lower left of N. Q is there and J is at the 10 position of a clock face.",What is the relation of the agent G to the agent I?,left
8755,"Object U is below object B and to the left of it, too. J is on the left and Y is on the right. O is over U. O is positioned in the top left corner of N. Q is over B. Y is on the right side and below N.",What is the relation of the agent Q to the agent N?,above
8756,A is to the bottom right of N. H is north west of D. H is slightly off center to the top left and K is slightly off center to the bottom right. D is on the left side of and below N. K is positioned above M and to the right. O is to the top right of A.,What is the relation of the agent N to the agent K?,upper-right
8757,"O is positioned above and to the left of E. G and F are parallel, and G is over F. Z is over there and G is on the top of it. F is below D at 7 o'clock. W is to the bottom-right of D. E and W are parallel, and E on the right of W.",What is the relation of the agent D to the agent O?,right
8758,"M is over there and J is on the right of it. A is at F’s 9 o'clock. D is on the lower left of Z. M is below and to the left of Z. F and D are parallel, and F is to the right of D. C is at the bottom and A is on the top.",What is the relation of the agent A to the agent F?,left
8759,X is below T and to the left of T. V is at P's 12 o'clock. N is on the top side to H. The object C is positioned above and to the right of the object V. H is below T. X is placed at the upper left of P.,What is the relation of the agent X to the agent N?,lower-left
8760,"D is at W's 3 o'clock. A is to the right of T horizontally. The object K and T are there. The object K is below and slightly to the right of the object T. O is on the top of A and is on the same vertical plane. W is directly south east of K. Object D is above object V and to the right of it, too.",What is the relation of the agent K to the agent A?,below
8761,"If M is the center of a clock face, F is located between 10 and 11. Z is directly north west of M. A is on the upper right of F. T is at Z’s 9 o'clock. P is at a 45 degree angle to T, in the upper lefthand corner. P is on the top and G is at the bottom.",What is the relation of the agent Z to the agent T?,right
8762,A is over there and V is on the right of it. I is to the left of H. S is above W at 10 o'clock. P is directly above I. V is over S. The objects A and P are over there. The object A is lower and slightly to the left of the object P.,What is the relation of the agent H to the agent W?,above
8763,B is at the bottom and H is on the top. J is on the left and G is on the right. K is to the right of Y and is on the same horizontal plane. G is at the bottom of L vertically. H is directly above L. B is to the top of Y vertically.,What is the relation of the agent L to the agent J?,upper-right
8764,B is to the left of L and below L at approximately a 45 degree angle. B is on the left and Q is on the right. J is to the left of P with a small gap between them. D presents over L. P is above G at 2 o'clock. Q is to the right and above J at an angle of about 45 degrees.,What is the relation of the agent D to the agent B?,upper-right
8765,R and V are side by side with V at the bottom and R on the top. H is to the right of S and is on the same horizontal plane. H is at L's 12 o'clock. W and Q are next to each other with Q at the bottom W on the top. V is diagonally below L to the right at a 45 degree angle. R presents upper left to Q.,What is the relation of the agent S to the agent H?,left
8766,"M and S are in a horizontal line with S on the right. L is sitting at the 9:00 position of D. R and M are side by side with R to the left and M to the right. P is over there and R is directly above it. Object Q is below object P and to the left of it, too. Q and L are in a horizontal line with Q on the left.",What is the relation of the agent L to the agent R?,below
8767,The object M is lower and slightly to the right of the object J. S is there and Z is at the 2 position of a clock face. B and J are side by side with B to the right and J to the left. V is at M’s 9 o'clock. G is to the right and above V at an angle of about 45 degrees. G presents lower right to S.,What is the relation of the agent J to the agent G?,upper-left
8768,O is below and to the right of X. E and G are both there with the object E is to the right of object G. K is positioned above O and to the right. H is on the right and X is on the left. G is there and H is at the 2 position of a clock face. K is to the bottom-right of D.,What is the relation of the agent D to the agent G?,upper-right
8769,W is on the lower left of A. C is diagonally to the bottom left of S. G is to the bottom left of W. L is to the left of J. A is slightly off center to the top left and J is slightly off center to the bottom right. L is above S with a small gap between them.,What is the relation of the agent G to the agent J?,lower-left
8770,I is to the top-right of U. Z is sitting at the 12:00 position to X. K is diagonally to the upper left of O. U and X are in a vertical line with X below U. The object E is positioned directly below the object I. K is positioned in the front right corner of Z.,What is the relation of the agent X to the agent O?,lower-left
8771,M and X are in a horizontal line with M on the left. The object labeled O is positioned to the left of the object labeled A. X is placed at the lower right of B. K is positioned down and to the left of M. O presents right to T. K is diagonally to the bottom right of A.,What is the relation of the agent K to the agent M?,lower-left
8772,D is under Q. The object M is positioned below and to the left of the object P. Q presents left to L. L is to the bottom left of T. A is to the upper left of M. A is above T at 2 o'clock.,What is the relation of the agent Q to the agent D?,above
8773,F is directly north west of D. M is above D and to the left of D. Y is at G's 12 o'clock. The objects Q and N are over there. The object Q is above and slightly to the right of the object N. M is to the right of Y and is on the same horizontal plane. N is to the upper left of F.,What is the relation of the agent D to the agent F?,lower-right
8774,"P is sitting at the lower left position to U. L is upper right to U. Object T is above object S and to the right of it, too. H is over there and G is on the left of it. S is to the bottom-left of G. L is on the top side to T.",What is the relation of the agent G to the agent P?,upper-right
8775,Z is above I and to the right of I. O is below H and to the right of H. I is south west of X. B and Z are vertical and B is above Z. X is placed in the left direction of O. S is positioned down and to the left of B.,What is the relation of the agent I to the agent H?,lower-left
8776,F is to the bottom left of S. A is upper right to F. U is at the 6 o'clock position relative to C. I is positioned in the lower left corner of C. I is on the left side of and below S. U is to the bottom left of T.,What is the relation of the agent U to the agent A?,below
8777,O and D are side by side with O to the left and D to the right. Q is there and U is at the 10 position of a clock face. The object O is lower and slightly to the right of the object V. Q is to the top-right of D. V is lower left to B. B is south east of A.,What is the relation of the agent B to the agent O?,above
8778,"S is above and to the left of F. S is placed at the upper right of X. Object Q is above object Y and to the left of it, too. X is below O. F presents upper left to C. O is to the left of Y.",What is the relation of the agent C to the agent O?,lower-right
8779,Q is directly north west of K. R is to the top-left of Y. H is over Q. R is diagonally left and below S. K is diagonally right and below P. Y is on the left side of and below P.,What is the relation of the agent R to the agent Y?,upper-left
8780,"Q is on the top of V and is on the same vertical plane. The object G is upper and slightly to the left of the object V. G and X are parallel, and G on the left of X. Y is at a 45 degree angle to C, in the lower righthand corner. Q and S are parallel, and Q on the left of S. C is there and S is at the 2 position of a clock face.",What is the relation of the agent S to the agent Y?,above
8781,Y is slightly off center to the top left and Z is slightly off center to the bottom right. P is at the 3 o'clock position relative to X. K is over there and P is directly above it. Y is upper left of H. The object K is upper and slightly to the right of the object H. X and A are side by side with A at the bottom and X on the top.,What is the relation of the agent Z to the agent H?,overlap
8782,J is below N and to the right of N. D is to the bottom-left of H. N is at H's 3 o'clock. The object O is positioned directly above the object G. Q and G are next to each other with G at the bottom Q on the top. O is below J.,What is the relation of the agent D to the agent G?,upper-left
8783,R is at the 6 o'clock position relative to B. J is placed at the bottom of F. S presents lower left to R. The object labeled J is positioned to the left of the object labeled Z. Z is positioned below G and to the right. S is to the upper left of F.,What is the relation of the agent G to the agent F?,above
8784,T is there and F is at the 2 position of a clock face. The object V and N are there. The object V is below and slightly to the right of the object N. T is on the lower left of A. F is placed on the top of R. W is to the top of V vertically. A is placed at the lower right of W.,What is the relation of the agent V to the agent T?,above
8785,"S is at a 45 degree angle to P, in the upper lefthand corner. F is directly north east of U. C is at a 45 degree angle to P, in the upper righthand corner. J is at a 45 degree angle to R, in the upper lefthand corner. J and S are both there with the object J is to the right of object S. R and F are side by side with R to the right and F to the left.",What is the relation of the agent U to the agent P?,lower-left
8786,G is to the upper left of N. W is on the left side of and below T. D is diagonally to the bottom left of W. O is sitting in the left direction of H. T is over there and N is at the bottom of it. G is below and to the left of O.,What is the relation of the agent O to the agent T?,above
8787,"V is diagonally to the bottom right of T. I is below K at 7 o'clock. P is to the upper left of T. S and K are both there with the object K below the object S. If S is the center of a clock face, W is located between 10 and 11. I is diagonally left and above I.",What is the relation of the agent S to the agent W?,lower-right
8788,Q is at the 9 o'clock position relative to T. T is to the top right of Y. P is south west of L. J is on the left side of and below L. J is positioned right to F. F is below Y and to the right of Y.,What is the relation of the agent J to the agent L?,lower-left
8789,"If Z is the center of a clock face, K is located between 7 and 8. E is on the left side and above Z. The objects X and Q are over there. The object X is above and slightly to the right of the object Q. C presents upper left to G. E is to the right of G with a small gap between them. The object C is positioned directly below the object X.",What is the relation of the agent C to the agent G?,upper-left
8790,O is diagonally below W to the right at a 45 degree angle. T is diagonally left and below W. M and T are next to each other with M on the top and T at the bottom. V is on top of G. Y is there and V is at the 10 position of a clock face. M and Y are next to each other with M on the top and Y at the bottom.,What is the relation of the agent M to the agent T?,above
8791,"D is on the same horizontal plane directly right to H. P is at a 45 degree angle to V, in the lower righthand corner. P is at a 45 degree angle to R, in the lower righthand corner. R is sitting at the 3:00 position to H. T is at the bottom of F and is on the same vertical plane. F is above D with a small gap between them.",What is the relation of the agent D to the agent T?,overlap
8792,"S is positioned in the top left corner of U. H is to the bottom-right of U. P is at a 45 degree angle to R, in the upper righthand corner. A is below P at 4 o'clock. A is placed in the right direction of L. S is on top of L.",What is the relation of the agent P to the agent L?,above
8793,Q presents right to F. V is below S and to the left of S. Q and C are both there with the object Q is to the right of object C. V is to the top-left of F. C is diagonally below N to the right at a 45 degree angle. N and P are next to each other with N on the left and P on the right.,What is the relation of the agent S to the agent N?,upper-left
8794,"T and K are in a horizontal line with K on the right. T presents right to X. V is at the bottom of I vertically. I is lower right of W. G and X are parallel, and G is to the left of X. K is positioned left to W.",What is the relation of the agent K to the agent I?,upper-left
8795,V is south east of G. R presents lower left to W. R is positioned in the lower right corner of I. V is directly above P. G and Z are next to each other with G on the left and Z on the right. P is positioned below I and to the right.,What is the relation of the agent R to the agent P?,overlap
8796,"F is on the same horizontal plane directly right to H. Q and P are next to each other with P at the bottom Q on the top. F is placed at the lower right of Q. B is positioned in the top left corner of H. B is at a 45 degree angle to A, in the lower lefthand corner. A is slightly off center to the top left and J is slightly off center to the bottom right.",What is the relation of the agent P to the agent F?,left
8797,"C and P are parallel, and C is to the left of P. F is placed at the lower right of E. M is above and to the right of R. M is sitting at the 3:00 position to C. The objects R and O are over there. The object R is above and slightly to the right of the object O. F is sitting at the 6:00 position to O.",What is the relation of the agent R to the agent M?,lower-left
8798,P is on the left side of and below F. F is to the bottom-right of K. X is positioned left to H. H is over there and K is on the left of it. G is positioned below S. X is over there and G is directly below it.,What is the relation of the agent X to the agent G?,above
8799,Y is over there and P is on the left. B is at the 6 o'clock position relative to V. F is on the lower left of D. C is placed at the upper right of P. D and Y are both there with the object D is to the right of object Y. B is to the top of C vertically.,What is the relation of the agent C to the agent Y?,above
8800,"O is to the bottom left of X. H is sitting at the lower right position to J. U and Z are in a vertical line with Z below U. Object S is above object U and to the right of it, too. S is on the left and H is on the right. J is to the bottom left of X.",What is the relation of the agent S to the agent H?,left
8801,"N is to the upper left of S. Y and W are parallel, and Y on the left of W. S is positioned in the front right corner of T. N and M are both there with the object N above the object M. The object labeled E is positioned to the right of the object labeled M. W is sitting in the right direction of T.",What is the relation of the agent S to the agent E?,overlap
8802,T is diagonally above A to the right at a 45 degree. Z is sitting at the upper right position to D. L and A are both there with the object L above the object A. T is on the right and E is on the left. D is south west of L. E is there and N is at the 2 position of a clock face.,What is the relation of the agent T to the agent A?,upper-right
8803,"Object H is below object E and to the right of it, too. The object labeled X is positioned to the right of the object labeled K. The objects K and C are over there. The object K is lower and slightly to the left of the object C. L is diagonally to the upper left of E. H is south east of C. L is sitting at the lower position to V.",What is the relation of the agent C to the agent K?,upper-right
8804,"P is sitting at the lower position to W. P is on the same vertical plane directly above O. H and Q are side by side with Q at the bottom and H on the top. If A is the center of a clock face, V is located between 7 and 8. V is sitting at the lower right position to W. H is to the bottom left of O.",What is the relation of the agent V to the agent W?,lower-right
8805,P is slightly off center to the top left and E is slightly off center to the bottom right. U is there and F is at the 10 position of a clock face. P is positioned above F. Z and T are in a vertical line with T below Z. Y presents upper left to T. U is at the lower side of Z.,What is the relation of the agent Z to the agent P?,lower-right
8806,N is on the upper right of U. R and Z are both there with the object Z below the object R. B and N are in a horizontal line with N on the right. The object B is positioned directly above the object R. Y is positioned above U and to the right. Y is diagonally above J to the left at a 45 degree angle.,What is the relation of the agent U to the agent B?,below
8807,"F presents over J. J is positioned up and to the right of A. T is above F and to the left of F. A is to the right of R with a small gap between them. R and L are next to each other with L at the bottom R on the top. If T is the center of a clock face, I is located between 7 and 8.",What is the relation of the agent L to the agent F?,lower-left
8808,"V is below A at 4 o'clock. I is diagonally to the upper left of V. I and S are parallel, and I on the left of S. S and L are in a vertical line with S on top. L is to the top-left of Q. If Q is the center of a clock face, Z is located between 2 and 3.",What is the relation of the agent L to the agent V?,overlap
8809,"Object K is below object I and to the right of it, too. A is positioned in the lower right corner of X. The object A is lower and slightly to the left of the object V. X is at the lower side of I. V is placed on the top of E. E is on the top and G is at the bottom.",What is the relation of the agent E to the agent I?,lower-right
8810,"V is diagonally to the bottom left of Y. V and Z are in a vertical line with V on top. Y is positioned down and to the left of A. H is at a 45 degree angle to A, in the upper lefthand corner. Q is on the same vertical plane directly below H. U is on the top side to Z.",What is the relation of the agent Y to the agent V?,upper-right
8811,W is over there and Q is on the top of it. Q is on the left and Y is on the right. Y is below R and to the right of R. The object W is upper and slightly to the right of the object F. F and B are in a horizontal line with F on the left. Z presents lower right to B.,What is the relation of the agent B to the agent Q?,below
8812,"E is at the 9 o'clock position relative to X. Y is at a 45 degree angle to O, in the upper righthand corner. Y is over there and M is on the top of it. N is to the right of L with a small gap between them. E and M are next to each other with M at the bottom E on the top. N is on the right side and below O.",What is the relation of the agent O to the agent Y?,lower-left
8813,The objects D and S are over there. The object D is lower and slightly to the left of the object S. Q is positioned above X and to the left. F is to the bottom left of X. S is on the left side to A. I is below A and to the left of A. Q is on the right side and top of D.,What is the relation of the agent D to the agent S?,lower-left
8814,Y and I are vertical and Y is above I. X and C are in a horizontal line with X on the left. D is positioned right to C. G is on the same horizontal plane directly right to I. X is above G at 10 o'clock. M is at D's 3 o'clock.,What is the relation of the agent D to the agent G?,upper-right
8815,G is on the same horizontal plane directly right to F. F is to the right of P horizontally. Y is there and X is at the 10 position of a clock face. Q is to the left of Y. Q is directly north west of V. P is on the right side and top of V.,What is the relation of the agent P to the agent X?,lower-right
8816,"C is directly south west of X. A is positioned left to C. Object L is below object O and to the left of it, too. U and G are both there with the object G below the object U. G is on the top and O is at the bottom. L is on the left side and above X.",What is the relation of the agent L to the agent X?,upper-left
8817,"N is on the top side to Z. Z is diagonally to the bottom left of E. D is at a 45 degree angle to N, in the upper lefthand corner. F is placed at the upper left of S. D is above S and to the right of S. W is on the right and F is on the left.",What is the relation of the agent W to the agent D?,left
8818,The object Z is lower and slightly to the left of the object A. K is over there and Y is on the right of it. M and O are in a vertical line with O below M. A is over there and Y is at the bottom of it. K is to the left of P and is on the same horizontal plane. M is directly below P.,What is the relation of the agent M to the agent Z?,lower-right
8819,W is sitting at the upper right position to X. F and N are vertical and F is above N. Q is at the 12 o'clock position relative to X. F is sitting at the 3:00 position to U. Q is to the top-right of B. U is upper right to W.,What is the relation of the agent F to the agent N?,above
8820,G is sitting at the upper right position to S. S is to the right and above J at an angle of about 45 degrees. Y presents over O. C and G are in a horizontal line with G on the right. D is upper right to Y. D is south west of J.,What is the relation of the agent C to the agent D?,upper-right
8821,"X is positioned right to C. L is on the top of E and is on the same vertical plane. X is lower left to L. D and C are parallel, and D is on top of C. Y is sitting at the upper left position to D. E is above H at 10 o'clock.",What is the relation of the agent E to the agent C?,right
8822,"D is slightly off center to the top left and T is slightly off center to the bottom right. E is at the 6 o'clock position relative to I. V is directly below T. X is to the left of B and is on the same horizontal plane. If D is the center of a clock face, X is located between 2 and 3. E is at the 9 o'clock position relative to V.",What is the relation of the agent E to the agent D?,below
8823,H is to the right of O with a small gap between them. P is to the bottom-left of Q. L is placed in the right direction of K. I and K are next to each other with K on the right and I on the left. The object H is positioned below and to the right of the object I. P is on the left side and above O.,What is the relation of the agent P to the agent H?,upper-left
8824,A presents left to P. X is above M with a small gap between them. V is to the top of S vertically. A presents right to V. C is diagonally left and below P. C is diagonally to the bottom left of X.,What is the relation of the agent A to the agent M?,upper-left
8825,"D is to the left of M. O is over there with M below. F and O are parallel, and F is to the left of O. L is above F with a small gap between them. The object labeled X is positioned to the left of the object labeled D. U is sitting at the lower position to X.",What is the relation of the agent X to the agent U?,above
8826,"Object O is above object P and to the left of it, too. Z is on the lower right of X. The object O is positioned below and to the left of the object N. W is positioned below and to the right of N. P is to the right of X and is on the same horizontal plane. W is to the left of D and below D at approximately a 45 degree angle.",What is the relation of the agent N to the agent P?,above
8827,V is there and R is at the 10 position of a clock face. The object S is upper and slightly to the left of the object F. I is at the 6 o'clock position relative to R. Y is to the top of N vertically. I is on the same horizontal plane directly left to S. Y is diagonally left and below F.,What is the relation of the agent N to the agent V?,below
8828,"W is sitting at the lower position to L. D is diagonally left and above D. D and L are parallel, and D on the left of L. B and V are parallel, and B is on top of V. B is positioned right to C. I is directly north west of V.",What is the relation of the agent I to the agent W?,overlap
